Fecha;Localidad;Temperatura
2017-01-11 12:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 12:00:00;Córdoba-Córdoba;15,0
2017-01-11 12:00:00;Córdoba-Palma del Río;16,0
2017-01-11 12:00:00;Madrid-Alcobendas;13,0
2017-01-11 12:00:00;Madrid-Coslada;13,0
2017-01-11 12:00:00;Madrid-Madrid;13,0
2017-01-11 12:00:00;Madrid-Torrejón de Ardoz;12,0
2017-01-11 12:00:00;Málaga-Alhaurín de la Torre;19,0
2017-01-11 12:00:00;Málaga-Cártama;18,0
2017-01-11 12:00:00;Málaga-Málaga;19,0
2017-01-11 12:00:00;València/Valencia-Aldaia;14,0
2017-01-11 12:00:00;València/Valencia-Manises;14,0
2017-01-11 12:00:00;València/Valencia-Paterna;14,0
2017-01-11 12:00:00;València/Valencia-Quart de Poblet;14,0
2017-01-11 12:00:00;Valladolid-Arroyo de la Encomienda;11,0
2017-01-11 12:00:00;Valladolid-Cistérniga;10,0
2017-01-11 12:00:00;Valladolid-Valladolid;11,0
2017-01-11 12:00:00;Valladolid-Zaratán;11,0
2017-01-11 12:00:00;Zaragoza-Zaragoza;13,0
2017-01-11 13:00:00;A Coruña-Cambre;13,0
2017-01-11 13:00:00;A Coruña-Culleredo;13,0
2017-01-11 13:00:00;Albacete-Albacete;9,0
2017-01-11 13:00:00;Albacete-Chinchilla de Monte-Aragón;8,0
2017-01-11 13:00:00;Badajoz-Badajoz;15,0
2017-01-11 13:00:00;Badajoz-Pueblonuevo del Guadiana;15,0
2017-01-11 13:00:00;Badajoz-Talavera la Real;15,0
2017-01-11 13:00:00;Barcelona-Sant Climent de Llobregat;11,0
2017-01-11 13:00:00;Barcelona-Viladecans;11,0
2017-01-11 13:00:00;Cantabria-Camargo;13,0
2017-01-11 13:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 13:00:00;Córdoba-Córdoba;16,0
2017-01-11 13:00:00;Córdoba-Palma del Río;17,0
2017-01-11 13:00:00;Madrid-Alcobendas;14,0
2017-01-11 13:00:00;Madrid-Coslada;13,0
2017-01-11 13:00:00;Madrid-Madrid;14,0
2017-01-11 13:00:00;Madrid-Torrejón de Ardoz;13,0
2017-01-11 13:00:00;Málaga-Alhaurín de la Torre;20,0
2017-01-11 13:00:00;Málaga-Cártama;19,0
2017-01-11 13:00:00;Málaga-Málaga;20,0
2017-01-11 13:00:00;València/Valencia-Aldaia;14,0
2017-01-11 13:00:00;València/Valencia-Manises;14,0
2017-01-11 13:00:00;València/Valencia-Paterna;14,0
2017-01-11 13:00:00;València/Valencia-Quart de Poblet;14,0
2017-01-11 13:00:00;Valladolid-Arroyo de la Encomienda;14,0
2017-01-11 13:00:00;Valladolid-Cistérniga;12,0
2017-01-11 13:00:00;Valladolid-Valladolid;12,0
2017-01-11 13:00:00;Valladolid-Zaratán;12,0
2017-01-11 13:00:00;Zaragoza-Zaragoza;14,0
2017-01-11 14:00:00;A Coruña-Cambre;13,0
2017-01-11 14:00:00;A Coruña-Culleredo;13,0
2017-01-11 14:00:00;Albacete-Albacete;10,0
2017-01-11 14:00:00;Albacete-Chinchilla de Monte-Aragón;9,0
2017-01-11 14:00:00;Badajoz-Badajoz;16,0
2017-01-11 14:00:00;Badajoz-Pueblonuevo del Guadiana;16,0
2017-01-11 14:00:00;Badajoz-Talavera la Real;16,0
2017-01-11 14:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 14:00:00;Barcelona-Viladecans;12,0
2017-01-11 14:00:00;Cantabria-Camargo;13,0
2017-01-11 14:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 14:00:00;Córdoba-Córdoba;18,0
2017-01-11 14:00:00;Córdoba-Palma del Río;18,0
2017-01-11 14:00:00;Madrid-Alcobendas;14,0
2017-01-11 14:00:00;Madrid-Coslada;14,0
2017-01-11 14:00:00;Madrid-Madrid;14,0
2017-01-11 14:00:00;Madrid-Torrejón de Ardoz;14,0
2017-01-11 14:00:00;Málaga-Alhaurín de la Torre;20,0
2017-01-11 14:00:00;Málaga-Cártama;20,0
2017-01-11 14:00:00;Málaga-Málaga;19,0
2017-01-11 14:00:00;València/Valencia-Aldaia;14,0
2017-01-11 14:00:00;València/Valencia-Manises;14,0
2017-01-11 14:00:00;València/Valencia-Paterna;14,0
2017-01-11 14:00:00;València/Valencia-Quart de Poblet;14,0
2017-01-11 14:00:00;Valladolid-Arroyo de la Encomienda;16,0
2017-01-11 14:00:00;Valladolid-Cistérniga;13,0
2017-01-11 14:00:00;Valladolid-Valladolid;14,0
2017-01-11 14:00:00;Valladolid-Zaratán;14,0
2017-01-11 14:00:00;Zaragoza-Zaragoza;15,0
2017-01-11 15:00:00;A Coruña-Cambre;13,0
2017-01-11 15:00:00;A Coruña-Culleredo;13,0
2017-01-11 15:00:00;Albacete-Albacete;10,0
2017-01-11 15:00:00;Albacete-Chinchilla de Monte-Aragón;9,0
2017-01-11 15:00:00;Badajoz-Badajoz;17,0
2017-01-11 15:00:00;Badajoz-Pueblonuevo del Guadiana;17,0
2017-01-11 15:00:00;Badajoz-Talavera la Real;17,0
2017-01-11 15:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 15:00:00;Barcelona-Viladecans;12,0
2017-01-11 15:00:00;Cantabria-Camargo;14,0
2017-01-11 15:00:00;Cantabria-Santa Cruz de Bezana;14,0
2017-01-11 15:00:00;Córdoba-Córdoba;17,0
2017-01-11 15:00:00;Córdoba-Palma del Río;18,0
2017-01-11 15:00:00;Madrid-Alcobendas;15,0
2017-01-11 15:00:00;Madrid-Coslada;15,0
2017-01-11 15:00:00;Madrid-Madrid;15,0
2017-01-11 15:00:00;Madrid-Torrejón de Ardoz;15,0
2017-01-11 15:00:00;Málaga-Alhaurín de la Torre;19,0
2017-01-11 15:00:00;Málaga-Cártama;19,0
2017-01-11 15:00:00;Málaga-Málaga;19,0
2017-01-11 15:00:00;València/Valencia-Aldaia;14,0
2017-01-11 15:00:00;València/Valencia-Manises;14,0
2017-01-11 15:00:00;València/Valencia-Paterna;14,0
2017-01-11 15:00:00;València/Valencia-Quart de Poblet;14,0
2017-01-11 15:00:00;Valladolid-Arroyo de la Encomienda;16,0
2017-01-11 15:00:00;Valladolid-Cistérniga;15,0
2017-01-11 15:00:00;Valladolid-Valladolid;15,0
2017-01-11 15:00:00;Valladolid-Zaratán;15,0
2017-01-11 15:00:00;Zaragoza-Zaragoza;15,0
2017-01-11 16:00:00;A Coruña-Cambre;13,0
2017-01-11 16:00:00;A Coruña-Culleredo;13,0
2017-01-11 16:00:00;Albacete-Albacete;10,0
2017-01-11 16:00:00;Albacete-Chinchilla de Monte-Aragón;8,0
2017-01-11 16:00:00;Badajoz-Badajoz;16,0
2017-01-11 16:00:00;Badajoz-Pueblonuevo del Guadiana;16,0
2017-01-11 16:00:00;Badajoz-Talavera la Real;16,0
2017-01-11 16:00:00;Barcelona-Sant Climent de Llobregat;13,0
2017-01-11 16:00:00;Barcelona-Viladecans;13,0
2017-01-11 16:00:00;Cantabria-Camargo;13,0
2017-01-11 16:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 16:00:00;Córdoba-Córdoba;15,0
2017-01-11 16:00:00;Córdoba-Palma del Río;17,0
2017-01-11 16:00:00;Madrid-Alcobendas;12,0
2017-01-11 16:00:00;Madrid-Coslada;12,0
2017-01-11 16:00:00;Madrid-Madrid;13,0
2017-01-11 16:00:00;Madrid-Torrejón de Ardoz;13,0
2017-01-11 16:00:00;Málaga-Alhaurín de la Torre;17,0
2017-01-11 16:00:00;Málaga-Cártama;16,0
2017-01-11 16:00:00;Málaga-Málaga;17,0
2017-01-11 16:00:00;València/Valencia-Aldaia;13,0
2017-01-11 16:00:00;València/Valencia-Manises;13,0
2017-01-11 16:00:00;València/Valencia-Paterna;13,0
2017-01-11 16:00:00;València/Valencia-Quart de Poblet;13,0
2017-01-11 16:00:00;Valladolid-Arroyo de la Encomienda;13,0
