,Provincia,Fecha,Temperatura,Comunidad,Zona
157,Albacete,2017-01-17 20:00:00,-0.5,Castilla la Mancha,Centro
158,Albacete,2017-01-17 21:00:00,-1.5,Castilla la Mancha,Centro
159,Albacete,2017-01-17 22:00:00,-2.5,Castilla la Mancha,Centro
160,Albacete,2017-01-17 23:00:00,-3.0,Castilla la Mancha,Centro
161,Albacete,2017-01-18 00:00:00,-4.0,Castilla la Mancha,Centro
162,Albacete,2017-01-18 01:00:00,-5.0,Castilla la Mancha,Centro
163,Albacete,2017-01-18 02:00:00,-5.5,Castilla la Mancha,Centro
164,Albacete,2017-01-18 03:00:00,-6.0,Castilla la Mancha,Centro
165,Albacete,2017-01-18 04:00:00,-6.5,Castilla la Mancha,Centro
166,Albacete,2017-01-18 05:00:00,-7.5,Castilla la Mancha,Centro
167,Albacete,2017-01-18 06:00:00,-7.0,Castilla la Mancha,Centro
168,Albacete,2017-01-18 07:00:00,-6.5,Castilla la Mancha,Centro
169,Albacete,2017-01-18 08:00:00,-5.5,Castilla la Mancha,Centro
170,Albacete,2017-01-18 09:00:00,-4.0,Castilla la Mancha,Centro
171,Albacete,2017-01-18 10:00:00,-2.0,Castilla la Mancha,Centro
172,Albacete,2017-01-18 11:00:00,0.5,Castilla la Mancha,Centro
173,Albacete,2017-01-18 12:00:00,2.0,Castilla la Mancha,Centro
174,Albacete,2017-01-18 13:00:00,3.0,Castilla la Mancha,Centro
175,Albacete,2017-01-18 14:00:00,4.0,Castilla la Mancha,Centro
176,Albacete,2017-01-18 15:00:00,5.0,Castilla la Mancha,Centro
177,Albacete,2017-01-18 16:00:00,3.5,Castilla la Mancha,Centro
178,Albacete,2017-01-18 17:00:00,2.5,Castilla la Mancha,Centro
179,Albacete,2017-01-18 18:00:00,1.0,Castilla la Mancha,Centro
180,Albacete,2017-01-18 19:00:00,0.5,Castilla la Mancha,Centro
181,Albacete,2017-01-18 20:00:00,0.0,Castilla la Mancha,Centro
182,Albacete,2017-01-18 21:00:00,0.0,Castilla la Mancha,Centro
183,Albacete,2017-01-18 22:00:00,-0.5,Castilla la Mancha,Centro
184,Albacete,2017-01-18 23:00:00,-1.0,Castilla la Mancha,Centro
185,Albacete,2017-01-19 00:00:00,-1.5,Castilla la Mancha,Centro
186,Albacete,2017-01-19 01:00:00,-1.0,Castilla la Mancha,Centro
187,Albacete,2017-01-19 02:00:00,-1.0,Castilla la Mancha,Centro
188,Albacete,2017-01-19 03:00:00,-0.5,Castilla la Mancha,Centro
189,Albacete,2017-01-19 04:00:00,-0.5,Castilla la Mancha,Centro
190,Albacete,2017-01-19 05:00:00,-0.5,Castilla la Mancha,Centro
191,Albacete,2017-01-19 06:00:00,-0.5,Castilla la Mancha,Centro
